T,O,value
484,1,10
485,1,8
486,1,10
487,1,6
488,1,5
489,1,9
490,1,9
491,1,17
492,1,8
493,1,16
494,1,8
495,1,14
496,1,9
497,1,16
498,1,9
499,1,14
500,1,10
501,1,14
502,1,10
503,1,16
504,1,8
505,1,30
506,1,9
507,1,9
508,1,5
509,1,9
510,1,10
511,1,13
512,1,11
513,1,6
514,1,8
515,1,16
516,1,8
517,1,9
518,1,4
519,1,6
520,1,21
521,1,10
522,1,6
523,1,19
524,1,6
525,1,15
526,1,8
527,1,17
528,1,8
529,1,7
530,1,8
531,1,9
532,1,16
533,1,13
534,1,10
535,1,10
536,1,15
537,1,35
538,1,7
539,1,5
540,1,24
541,1,8
542,1,16
543,1,10
544,1,14
545,1,10
546,1,14
547,1,16
548,1,10
549,1,33
550,1,14
551,1,8
552,1,11
553,1,5
554,1,13
555,1,12
556,1,4
557,1,23
558,1,10
559,1,10
560,1,8
561,1,7
562,1,10
563,1,8
564,1,15
565,1,4
566,1,4
567,1,16
568,1,15
569,1,9
570,1,7
571,1,16
572,1,15
573,1,12
574,1,6
575,1,19
576,1,5
577,1,6
578,1,34
579,1,13
580,1,10
581,1,15
582,1,12
583,1,12
584,1,8
585,1,19
586,1,7
587,1,14
588,1,10
589,1,14
590,1,46
591,1,7
592,1,6
593,1,7
594,1,9
595,1,6
596,1,15
597,1,10
598,1,6
599,1,10
600,1,7
601,1,14
602,1,11
603,1,6
604,1,6
605,1,6
606,1,7
607,1,13
608,1,11
609,1,7
610,1,29
611,1,10
612,1,16
613,1,10
614,1,6
615,1,7
616,1,11
617,1,5
618,1,10
619,1,8
620,1,5
621,1,9
622,1,35
623,1,7
624,1,6
625,1,9
626,1,7
627,1,13
628,1,6
629,1,6
630,1,9
631,1,9
632,1,6
633,1,18
634,1,4
635,1,4
636,1,41
637,1,5
638,1,19
639,1,14
640,1,11
641,1,12
642,1,7
643,1,17
644,1,10
645,1,14
646,1,9
647,1,15
648,1,11
649,1,5
650,1,9
651,1,10
652,1,4
653,1,9
654,1,33
655,1,15
656,1,8
657,1,16
658,1,9
659,1,15
660,1,9
661,1,15
662,1,9
663,1,16
664,1,35
665,1,21
666,1,14
667,1,18
668,1,7
669,1,8
670,1,15
671,1,10
672,1,12
673,1,12
674,1,14
675,1,25
676,1,25
677,1,8
678,1,15
679,1,9
680,1,11
681,1,27
682,1,10
683,1,15
684,1,9
685,1,16
686,1,25
687,1,33
688,1,13
689,1,9
690,1,15
691,1,9
692,1,14
693,1,10
694,1,16
695,1,7
696,1,17
697,1,42
698,1,38
699,1,6
700,1,8
701,1,10
702,1,17
703,1,7
704,1,8
705,1,32
706,1,33
707,1,23
708,1,16
709,1,32
710,1,31
711,1,7
712,1,10
713,1,15
714,1,24
715,1,11
716,1,21
717,1,17
718,1,9
719,1,5
720,1,10
1,2,10
2,2,14
3,2,8
4,2,14
5,2,10
6,2,13
7,2,13
8,2,12
9,2,26
10,2,18
11,2,14
12,2,15
13,2,9
14,2,13
15,2,11
16,2,10
17,2,5
18,2,9
19,2,5
20,2,13
21,2,8
22,2,4
23,2,8
24,2,6
25,2,6
26,2,15
27,2,31
28,2,15
29,2,9
30,2,16
31,2,10
32,2,5
33,2,19
34,2,13
35,2,9
36,2,15
37,2,11
38,2,13
39,2,11
40,2,5
41,2,16
42,2,17
43,2,8
44,2,14
45,2,10
46,2,14
47,2,10
48,2,14
49,2,7
50,2,10
51,2,6
52,2,12
53,2,13
54,2,34
55,2,7
56,2,7
57,2,12
58,2,5
59,2,9
60,2,9
61,2,6
62,2,8
63,2,9
64,2,43
65,2,11
66,2,9
67,2,35
68,2,6
69,2,16
70,2,7
71,2,16
72,2,15
73,2,11
74,2,15
75,2,8
76,2,17
77,2,8
78,2,16
79,2,8
80,2,5
81,2,26
82,2,4
83,2,17
84,2,9
85,2,10
86,2,16
87,2,11
88,2,28
89,2,24
90,2,32
91,2,10
92,2,37
93,2,10
94,2,14
95,2,10
96,2,15
97,2,11
98,2,12
99,2,49
100,2,10
101,2,7
102,2,8
103,2,34
104,2,6
105,2,10
106,2,6
107,2,8
108,2,16
109,2,9
110,2,7
111,2,9
112,2,7
113,2,16
114,2,7
115,2,18
116,2,15
117,2,8
118,2,8
119,2,16
120,2,8
121,2,17
122,2,6
123,2,9
124,2,9
125,2,6
126,2,9
127,2,8
128,2,8
129,2,5
130,2,5
131,2,6
132,2,7
133,2,4
134,2,13
135,2,8
136,2,6
137,2,15
138,2,10
139,2,17
140,2,16
141,2,8
142,2,15
143,2,14
144,2,13
145,2,4
146,2,15
147,2,26
148,2,7
149,2,8
150,2,9
151,2,9
152,2,17
153,2,7
154,2,16
155,2,9
156,2,16
157,2,5
158,2,8
159,2,10
160,2,7
161,2,19
162,2,3
163,2,19
164,2,15
165,2,8
166,2,8
167,2,16
168,2,16
169,2,10
170,2,7
171,2,15
172,2,9
173,2,12
174,2,27
175,2,4
176,2,3
177,2,7
178,2,10
179,2,4
180,2,4
181,2,18
182,2,7
183,2,15
184,2,7
185,2,33
186,2,8
187,2,10
188,2,27
189,2,11
190,2,10
191,2,14
192,2,10
193,2,6
194,2,8
195,2,10
196,2,16
197,2,8
198,2,19
199,2,4
200,2,15
201,2,9
202,2,17
203,2,21
204,2,27
205,2,7
206,2,16
207,2,5
208,2,18
209,2,10
210,2,15
211,2,6
212,2,17
213,2,17
214,2,9
215,2,8
216,2,16
217,2,8
218,2,14
219,2,10
220,2,14
221,2,8
222,2,16
223,2,8
224,2,16
225,2,11
226,2,13
227,2,9
228,2,15
229,2,9
230,2,16
231,2,8
232,2,17
233,2,8
234,2,14
235,2,10
236,2,15
237,2,8
238,2,16
239,2,9
240,2,14
241,2,10
242,2,15
243,2,8
244,2,15
245,2,11
246,2,16
247,2,7
248,2,14
249,2,8
250,2,15
251,2,11
252,2,15
253,2,8
254,2,15
255,2,11
256,2,7
257,2,6
258,2,9
259,2,14
260,2,12
261,2,13
262,2,9
263,2,16
264,2,10
265,2,16
266,2,6
267,2,7
268,2,9
269,2,16
270,2,6
271,2,10
272,2,7
273,2,9
274,2,10
275,2,14
276,2,9
277,2,13
278,2,11
279,2,14
280,2,18
281,2,6
282,2,7
283,2,4
284,2,12
285,2,6
286,2,6
287,2,14
288,2,8
289,2,8
290,2,5
291,2,7
292,2,21
293,2,5
294,2,19
295,2,4
296,2,6
297,2,12
298,2,10
299,2,15
300,2,12
301,2,11
302,2,9
303,2,16
304,2,9
305,2,5
306,2,10
307,2,10
308,2,13
309,2,10
310,2,14
311,2,9
312,2,15
313,2,9
314,2,16
315,2,6
316,2,19
317,2,7
318,2,16
319,2,8
320,2,8
321,2,6
322,2,4
323,2,7
324,2,13
325,2,11
326,2,16
327,2,9
328,2,13
329,2,8
330,2,17
331,2,9
332,2,6
333,2,8
334,2,7
335,2,4
336,2,14
337,2,6
338,2,7
339,2,11
340,2,8
341,2,18
342,2,6
343,2,16
344,2,6
345,2,19
346,2,9
347,2,14
348,2,8
349,2,14
350,2,8
351,2,17
352,2,10
353,2,6
354,2,19
355,2,15
356,2,8
357,2,13
358,2,11
359,2,13
360,2,12
361,2,17
362,2,13
363,2,15
364,2,7
365,2,9
366,2,11
367,2,14
368,2,7
369,2,17
370,2,8
371,2,16
372,2,8
373,2,16
374,2,9
375,2,14
376,2,10
377,2,15
378,2,10
379,2,12
380,2,10
381,2,17
382,2,8
383,2,16
384,2,6
385,2,9
386,2,10
387,2,8
388,2,14
389,2,10
390,2,14
391,2,8
392,2,15
393,2,10
394,2,16
395,2,9
396,2,14
397,2,9
398,2,15
399,2,8
400,2,14
401,2,9
402,2,33
403,2,7
404,2,9
405,2,8
406,2,7
407,2,11
408,2,14
409,2,8
410,2,16
411,2,9
412,2,15
413,2,10
414,2,12
415,2,3
416,2,7
417,2,15
418,2,39
419,2,9
420,2,7
421,2,20
422,2,8
423,2,14
424,2,8
425,2,18
426,2,21
427,2,10
428,2,13
429,2,11
430,2,15
431,2,7
432,2,9
433,2,8
434,2,10
435,2,14
436,2,14
437,2,10
438,2,10
439,2,13
440,2,7
441,2,18
442,2,7
443,2,3
444,2,16
445,2,6
446,2,29
447,2,10
448,2,9
449,2,16
450,2,7
451,2,7
452,2,12
453,2,5
454,2,16
455,2,10
456,2,15
457,2,8
458,2,18
459,2,7
460,2,5
461,2,11
462,2,6
463,2,17
464,2,9
465,2,14
466,2,10
467,2,9
468,2,7
469,2,7
470,2,17
471,2,8
472,2,15
473,2,8
474,2,16
475,2,9
476,2,5
477,2,9
478,2,8
479,2,18
480,2,8
481,2,16
482,2,6
483,2,7
484,2,9
485,2,9
486,2,19
487,2,5
488,2,16
489,2,7
490,2,11
491,2,6
492,2,7
493,2,42
494,2,7
495,2,16
496,2,9
497,2,15
498,2,8
499,2,16
500,2,8
501,2,17
502,2,7
503,2,15
504,2,13
505,2,11
506,2,8
507,2,32
508,2,10
509,2,8
510,2,14
511,2,10
512,2,14
513,2,8
514,2,32
515,2,8
516,2,7
517,2,18
518,2,5
519,2,21
520,2,4
521,2,17
522,2,17
523,2,7
524,2,4
525,2,9
526,2,11
527,2,8
528,2,16
529,2,7
530,2,13
531,2,4
532,2,4
533,2,4
534,2,18
535,2,7
536,2,15
537,2,7
538,2,17
539,2,7
540,2,8
541,2,35
542,2,7
543,2,17
544,2,5
545,2,19
546,2,6
547,2,19
548,2,6
549,2,18
550,2,6
551,2,6
552,2,9
553,2,16
554,2,10
555,2,6
556,2,17
557,2,9
558,2,15
559,2,8
560,2,7
561,2,8
562,2,38
563,2,10
564,2,10
565,2,14
566,2,14
567,2,11
568,2,8
569,2,40
570,2,8
571,2,17
572,2,8
573,2,41
574,2,5
575,2,18
576,2,7
577,2,7
578,2,10
579,2,6
580,2,17
581,2,6
582,2,20
583,2,6
584,2,18
585,2,6
586,2,16
587,2,8
588,2,7
589,2,15
590,2,5
591,2,12
592,2,16
593,2,22
594,2,10
595,2,10
596,2,15
597,2,8
598,2,8
599,2,8
600,2,14
601,2,17
602,2,18
603,2,7
604,2,7
605,2,8
606,2,14
607,2,26
608,2,14
609,2,20
610,2,4
611,2,35
612,2,8
613,2,14
614,2,8
615,2,20
616,2,10
617,2,4
618,2,12
619,2,6
620,2,5
621,2,32
622,2,8
623,2,50
624,2,6
625,2,18
626,2,7
627,2,16
628,2,14
629,2,58
630,2,14
631,2,10
632,2,6
633,2,8
634,2,10
635,2,15
636,2,9
637,2,15
638,2,9
639,2,14
640,2,42
641,2,16
642,2,16
643,2,7
644,2,15
645,2,10
646,2,15
647,2,9
648,2,15
649,2,9
650,2,12
651,2,18
652,2,9
653,2,9
654,2,82
655,2,6
656,2,8
657,2,75
658,2,10
659,2,11
660,2,5
661,2,11
662,2,8
663,2,16
664,2,8
665,2,15
666,2,5
667,2,10
668,2,10
669,2,8
670,2,9
671,2,18
672,2,11
673,2,7
674,2,16
675,2,3
676,2,7
677,2,15
678,2,10
679,2,8
680,2,5
681,2,11
682,2,15
683,2,9
684,2,11
685,2,12
686,2,17
687,2,22
688,2,11
689,2,10
690,2,15
691,2,5
692,2,17
693,2,13
694,2,12
695,2,13
696,2,10
697,2,11
698,2,16
699,2,14
700,2,11
701,2,40
702,2,11
703,2,9
704,2,9
705,2,11
706,2,11
707,2,14
708,2,4
709,2,19
710,2,12
711,2,9
712,2,7
713,2,30
714,2,6
715,2,14
716,2,6
717,2,9
718,2,7
719,2,10
720,2,14
1,3,10
2,3,14
3,3,8
4,3,14
5,3,10
6,3,16
7,3,8
8,3,40
9,3,9
10,3,4
11,3,11
12,3,29
13,3,3
14,3,6
15,3,9
16,3,9
17,3,6
18,3,8
19,3,10
20,3,16
21,3,7
22,3,9
23,3,31
24,3,10
25,3,6
26,3,18
27,3,13
28,3,9
29,3,17
30,3,10
31,3,4
32,3,18
33,3,14
34,3,12
35,3,5
36,3,43
37,3,12
38,3,29
39,3,6
40,3,10
41,3,27
42,3,10
43,3,6
44,3,8
45,3,10
46,3,18
47,3,7
48,3,15
49,3,9
50,3,6
51,3,17
52,3,15
53,3,9
54,3,16
55,3,8
56,3,7
57,3,7
58,3,10
59,3,16
60,3,23
61,3,11
62,3,5
63,3,18
64,3,6
65,3,9
66,3,8
67,3,10
68,3,40
69,3,5
70,3,7
71,3,10
72,3,8
73,3,17
74,3,4
75,3,10
76,3,7
77,3,14
78,3,13
79,3,14
80,3,8
81,3,17
82,3,8
83,3,7
84,3,12
85,3,21
86,3,8
87,3,37
88,3,19
89,3,24
90,3,16
91,3,15
92,3,9
93,3,18
94,3,16
95,3,16
96,3,5
97,3,33
98,3,9
99,3,23
100,3,7
101,3,7
102,3,11
103,3,13
104,3,10
105,3,7
106,3,42
107,3,15
108,3,8
109,3,8
110,3,24
111,3,11
112,3,28
113,3,15
114,3,18
115,3,16
116,3,8
117,3,16
118,3,7
119,3,17
120,3,8
121,3,7
122,3,8
123,3,7
124,3,21
125,3,21
126,3,14
127,3,11
128,3,7
129,3,6
130,3,10
131,3,6
132,3,18
133,3,7
134,3,19
135,3,6
136,3,8
137,3,8
138,3,6
139,3,14
140,3,11
141,3,17
142,3,7
143,3,8
144,3,10
145,3,6
146,3,19
147,3,22
148,3,8
149,3,8
150,3,8
151,3,8
152,3,8
153,3,8
154,3,9
155,3,15
156,3,7
157,3,17
158,3,15
159,3,9
160,3,9
161,3,15
162,3,9
163,3,15
164,3,9
165,3,7
166,3,8
167,3,6
168,3,9
169,3,10
170,3,7
171,3,18
172,3,7
173,3,14
174,3,10
175,3,14
176,3,10
177,3,30
178,3,10
179,3,8
180,3,14
181,3,4
182,3,5
183,3,10
184,3,32
185,3,7
186,3,14
187,3,9
188,3,15
189,3,15
190,3,11
191,3,5
192,3,8
193,3,10
194,3,8
195,3,16
196,3,6
197,3,10
198,3,7
199,3,9
200,3,17
201,3,8
202,3,14
203,3,9
204,3,15
205,3,11
206,3,15
207,3,8
208,3,5
209,3,13
210,3,36
211,3,9
212,3,6
213,3,19
214,3,7
215,3,15
216,3,9
217,3,15
218,3,9
219,3,15
220,3,10
221,3,15
222,3,8
223,3,17
224,3,8
225,3,15
226,3,16
227,3,10
228,3,6
229,3,16
230,3,9
231,3,15
232,3,8
233,3,30
234,3,9
235,3,10
236,3,15
237,3,9
238,3,15
239,3,8
240,3,9
241,3,8
242,3,6
243,3,16
244,3,11
245,3,14
246,3,8
247,3,14
248,3,9
249,3,12
250,3,4
251,3,11
252,3,14
253,3,8
254,3,8
255,3,7
256,3,10
257,3,17
258,3,8
259,3,12
260,3,3
261,3,5
262,3,9
263,3,9
264,3,24
265,3,10
266,3,13
267,3,11
268,3,14
269,3,9
270,3,6
271,3,9
272,3,8
273,3,17
274,3,6
275,3,17
276,3,8
277,3,16
278,3,8
279,3,15
280,3,11
281,3,13
282,3,9
283,3,16
284,3,8
285,3,10
286,3,5
287,3,11
288,3,13
289,3,9
290,3,15
291,3,9
292,3,16
293,3,8
294,3,14
295,3,10
296,3,14
297,3,12
298,3,13
299,3,10
300,3,18
301,3,6
302,3,15
303,3,8
304,3,16
305,3,10
306,3,14
307,3,8
308,3,7
309,3,8
310,3,9
311,3,6
312,3,10
313,3,10
314,3,13
315,3,17
316,3,8
317,3,9
318,3,7
319,3,9
320,3,7
321,3,15
322,3,11
323,3,14
324,3,7
325,3,16
326,3,11
327,3,13
328,3,9
329,3,15
330,3,9
331,3,15
332,3,9
333,3,16
334,3,23
335,3,7
336,3,17
337,3,7
338,3,8
339,3,9
340,3,10
341,3,14
342,3,9
343,3,16
344,3,8
345,3,18
346,3,5
347,3,20
348,3,4
349,3,4
350,3,12
351,3,9
352,3,15
353,3,7
354,3,17
355,3,11
356,3,14
357,3,8
358,3,31
359,3,7
360,3,25
361,3,10
362,3,14
363,3,11
364,3,12
365,3,12
366,3,13
367,3,12
368,3,14
369,3,9
370,3,16
371,3,8
372,3,13
373,3,11
374,3,14
375,3,6
376,3,17
377,3,10
378,3,14
379,3,9
380,3,7
381,3,7
382,3,12
383,3,14
384,3,11
385,3,13
386,3,8
387,3,7
388,3,20
389,3,12
390,3,11
391,3,14
392,3,10
393,3,12
394,3,11
395,3,16
396,3,9
397,3,14
398,3,7
399,3,16
400,3,16
401,3,8
402,3,11
403,3,13
404,3,11
405,3,13
406,3,8
407,3,11
408,3,5
409,3,15
410,3,9
411,3,11
412,3,14
413,3,6
414,3,8
415,3,9
416,3,8
417,3,18
418,3,8
419,3,15
420,3,9
421,3,14
422,3,8
423,3,16
424,3,9
425,3,16
426,3,8
427,3,16
428,3,8
429,3,10
430,3,6
431,3,8
432,3,9
433,3,7
434,3,7
435,3,17
436,3,9
437,3,14
438,3,11
439,3,13
440,3,11
441,3,14
442,3,9
443,3,13
444,3,11
445,3,14
446,3,9
447,3,15
448,3,11
449,3,13
450,3,9
451,3,16
452,3,8
453,3,17
454,3,8
455,3,17
456,3,6
457,3,18
458,3,8
459,3,15
460,3,8
461,3,9
462,3,7
463,3,7
464,3,15
465,3,10
466,3,15
467,3,10
468,3,6
469,3,9
470,3,5
471,3,20
472,3,8
473,3,13
474,3,10
475,3,14
476,3,9
477,3,15
478,3,10
479,3,38
480,3,8
481,3,17
482,3,8
483,3,7
484,3,8
485,3,15
486,3,9
487,3,9
488,3,6
489,3,26
490,3,7
491,3,10
492,3,7
493,3,16
494,3,6
495,3,9
496,3,6
497,3,10
498,3,11
499,3,5
500,3,7
501,3,10
502,3,8
503,3,15
504,3,9
505,3,15
506,3,10
507,3,15
508,3,9
509,3,14
510,3,9
511,3,15
512,3,10
513,3,14
514,3,6
515,3,11
516,3,7
517,3,19
518,3,5
519,3,10
520,3,14
521,3,9
522,3,6
523,3,9
524,3,26
525,3,8
526,3,14
527,3,10
528,3,18
529,3,6
530,3,14
531,3,9
532,3,14
533,3,16
534,3,9
535,3,16
536,3,10
537,3,6
538,3,18
539,3,6
540,3,17
541,3,9
542,3,14
543,3,9
544,3,18
545,3,6
546,3,19
547,3,4
548,3,16
549,3,9
550,3,16
551,3,7
552,3,4
553,3,13
554,3,9
555,3,14
556,3,9
557,3,9
558,3,6
559,3,9
560,3,17
561,3,5
562,3,20
563,3,4
564,3,7
565,3,9
566,3,26
567,3,8
568,3,31
569,3,10
570,3,7
571,3,5
572,3,11
573,3,7
574,3,17
575,3,7
576,3,7
577,3,10
578,3,15
579,3,9
580,3,9
581,3,5
582,3,12
583,3,5
584,3,32
585,3,11
586,3,11
587,3,12
588,3,6
589,3,8
590,3,8
591,3,15
592,3,8
593,3,15
594,3,10
595,3,14
596,3,59
597,3,15
598,3,9
599,3,8
600,3,19
601,3,4
602,3,40
603,3,16
604,3,10
605,3,6
606,3,6
607,3,12
608,3,22
609,3,25
610,3,17
611,3,7
612,3,8
613,3,15
614,3,6
615,3,8
616,3,14
617,3,11
618,3,12
619,3,12
620,3,11
621,3,13
622,3,35
623,3,15
624,3,9
625,3,18
626,3,5
627,3,15
628,3,9
629,3,16
630,3,15
631,3,7
632,3,36
633,3,4
634,3,9
635,3,11
636,3,12
637,3,11
638,3,13
639,3,9
640,3,11
641,3,5
642,3,9
643,3,16
644,3,9
645,3,5
646,3,20
647,3,14
648,3,8
649,3,7
650,3,19
651,3,13
652,3,9
653,3,14
654,3,10
655,3,16
656,3,8
657,3,15
658,3,4
659,3,12
660,3,8
661,3,12
662,3,23
663,3,4
664,3,10
665,3,8
666,3,39
667,3,8
668,3,16
669,3,8
670,3,17
671,3,10
672,3,40
673,3,6
674,3,14
675,3,9
676,3,17
677,3,11
678,3,17
679,3,4
680,3,9
681,3,7
682,3,8
683,3,7
684,3,8
685,3,7
686,3,7
687,3,9
688,3,12
689,3,24
690,3,7
691,3,30
692,3,9
693,3,14
694,3,10
695,3,15
696,3,9
697,3,16
698,3,21
699,3,8
700,3,22
701,3,6
702,3,22
703,3,16
704,3,9
705,3,16
706,3,8
707,3,12
708,3,4
709,3,9
710,3,95
711,3,4
712,3,12
713,3,6
714,3,27
715,3,38
716,3,12
717,3,9
718,3,36
719,3,16
720,3,24
1,4,8
2,4,18
3,4,8
4,4,12
5,4,13
6,4,11
7,4,11
8,4,6
9,4,24
10,4,12
11,4,9
12,4,12
13,4,8
14,4,15
15,4,9
16,4,15
17,4,9
18,4,15
19,4,9
20,4,15
21,4,9
22,4,16
23,4,13
24,4,46
25,4,12
26,4,9
27,4,16
28,4,8
29,4,30
30,4,8
31,4,10
32,4,14
33,4,12
34,4,14
35,4,10
36,4,13
37,4,9
38,4,16
39,4,8
40,4,15
41,4,9
42,4,15
43,4,10
44,4,14
45,4,8
46,4,17
47,4,10
48,4,5
49,4,4
50,4,9
51,4,8
52,4,20
53,4,14
54,4,11
55,4,5
56,4,37
57,4,8
58,4,12
59,4,7
60,4,9
61,4,9
62,4,14
63,4,11
64,4,15
65,4,8
66,4,8
67,4,14
68,4,14
69,4,6
70,4,5
71,4,9
72,4,16
73,4,7
74,4,14
75,4,11
76,4,14
77,4,24
78,4,11
79,4,14
80,4,9
81,4,15
82,4,9
83,4,16
84,4,8
85,4,15
86,4,9
87,4,7
88,4,24
89,4,18
90,4,13
91,4,13
92,4,4
93,4,17
94,4,8
95,4,6
96,4,10
97,4,14
98,4,10
99,4,16
100,4,8
101,4,8
102,4,16
103,4,14
104,4,11
105,4,6
106,4,18
107,4,6
108,4,17
109,4,8
110,4,8
111,4,8
112,4,8
113,4,16
114,4,8
115,4,7
116,4,9
117,4,15
118,4,9
119,4,16
120,4,17
121,4,39
122,4,6
123,4,10
124,4,8
125,4,8
126,4,13
127,4,27
128,4,38
129,4,11
130,4,36
131,4,11
132,4,7
133,4,9
134,4,8
135,4,14
136,4,9
137,4,16
138,4,9
139,4,8
140,4,8
141,4,8
142,4,6
143,4,9
144,4,10
145,4,20
146,4,11
147,4,40
148,4,24
149,4,8
150,4,17
151,4,8
152,4,64
153,4,7
154,4,16
155,4,9
156,4,14
157,4,8
158,4,18
159,4,8
160,4,16
161,4,6
162,4,18
163,4,8
164,4,15
165,4,9
166,4,14
167,4,10
168,4,14
169,4,10
170,4,15
171,4,9
