T,O,G,value
150,1,PV,0.04
151,1,PV,0.05
152,1,PV,0.41
153,1,PV,0.02
154,1,PV,0
155,1,PV,0.05
156,1,PV,0
157,1,PV,0.01
158,1,PV,0.11
159,1,PV,0.01
160,1,PV,0.47
161,1,PV,0.05
162,1,PV,0
163,1,PV,0.43
164,1,PV,0.09
165,1,PV,0
166,1,PV,0.04
167,1,PV,0.08
168,1,PV,0
169,1,PV,0.06
170,1,PV,0.5
171,1,PV,0.06
172,1,PV,0.01
173,1,PV,0.57
174,1,PV,0.01
175,1,PV,0.33
176,1,PV,0.01
177,1,PV,0.04
178,1,PV,0.43
179,1,PV,0.02
180,1,PV,0
181,1,PV,0.07
182,1,PV,0.01
183,1,PV,0.48
184,1,PV,0.11
185,1,PV,0.03
186,1,PV,0.5
187,1,PV,0.04
188,1,PV,0.41
189,1,PV,0.03
190,1,PV,0.3
191,1,PV,0.03
192,1,PV,0.56
193,1,PV,0.02
194,1,PV,0.01
195,1,PV,0.59
196,1,PV,0.02
197,1,PV,0.56
198,1,PV,0.03
199,1,PV,0.03
200,1,PV,0.3
201,1,PV,0.01
202,1,PV,0.37
203,1,PV,0.05
204,1,PV,0.05
205,1,PV,0.64
206,1,PV,0.04
207,1,PV,0.56
208,1,PV,0.05
209,1,PV,0.02
210,1,PV,0.41
211,1,PV,0.01
212,1,PV,0.45
213,1,PV,0.05
214,1,PV,0.04
215,1,PV,0.46
216,1,PV,0.05
217,1,PV,0.48
218,1,PV,0.04
219,1,PV,0.37
220,1,PV,0.09
221,1,PV,0.05
222,1,PV,0.54
223,1,PV,0.04
224,1,PV,0.34
225,1,PV,0.03
226,1,PV,0.46
227,1,PV,0.07
228,1,PV,0.02
229,1,PV,0.48
230,1,PV,0.01
231,1,PV,0.45
232,1,PV,0.04
233,1,PV,0.48
234,1,PV,0.04
235,1,PV,0.49
236,1,PV,0.05
237,1,PV,0.61
238,1,PV,0.06
239,1,PV,0.52
240,1,PV,0.09
241,1,PV,0.06
242,1,PV,0.03
243,1,PV,0.43
244,1,PV,0.06
245,1,PV,0.69
246,1,PV,0.03
247,1,PV,0.52
248,1,PV,0.06
249,1,PV,0.66
250,1,PV,0.09
251,1,PV,0.39
252,1,PV,0.03
253,1,PV,0.34
254,1,PV,0.05
255,1,PV,0.61
256,1,PV,0.06
257,1,PV,0.66
258,1,PV,0.07
259,1,PV,0.02
260,1,PV,0.37
261,1,PV,0.03
262,1,PV,0.55
263,1,PV,0.04
264,1,PV,0.67
265,1,PV,0.08
266,1,PV,0.62
267,1,PV,0.07
268,1,PV,0.71
269,1,PV,0.06
270,1,PV,0.5
271,1,PV,0.07
272,1,PV,0.6
273,1,PV,0.07
274,1,PV,0.49
275,1,PV,0.07
276,1,PV,0.47
277,1,PV,0.04
278,1,PV,0.25
279,1,PV,0.04
280,1,PV,0.58
281,1,PV,0.03
282,1,PV,0.49
283,1,PV,0.05
284,1,PV,0.51
285,1,PV,0.05
286,1,PV,0.38
287,1,PV,0.06
288,1,PV,0.04
289,1,PV,0.37
290,1,PV,0.03
291,1,PV,0.33
292,1,PV,0.02
293,1,PV,0.19
294,1,PV,0.51
295,1,PV,0.06
296,1,PV,0.08
297,1,PV,0.65
298,1,PV,0.01
299,1,PV,0.27
300,1,PV,0.07
301,1,PV,0.69
302,1,PV,0.1
303,1,PV,0.47
304,1,PV,0.07
305,1,PV,0.57
306,1,PV,0.02
307,1,PV,0.51
308,1,PV,0.09
309,1,PV,0.29
310,1,PV,0.03
311,1,PV,0.09
312,1,PV,0.65
313,1,PV,0.03
314,1,PV,0.26
315,1,PV,0.05
316,1,PV,0.56
317,1,PV,0.07
318,1,PV,0.63
319,1,PV,0.05
320,1,PV,0.23
321,1,PV,0.06
322,1,PV,0.67
323,1,PV,0.11
324,1,PV,0.06
325,1,PV,0.65
326,1,PV,0.05
327,1,PV,0.35
328,1,PV,0.06
329,1,PV,0.44
330,1,PV,0.03
331,1,PV,0.53
332,1,PV,0.05
333,1,PV,0.31
334,1,PV,0.01
335,1,PV,0.27
336,1,PV,0.02
337,1,PV,0.32
338,1,PV,0.08
339,1,PV,0.57
340,1,PV,0.06
341,1,PV,0.51
342,1,PV,0.07
343,1,PV,0.57
344,1,PV,0.19
345,1,PV,0.01
346,1,PV,0.31
347,1,PV,0.05
348,1,PV,0.58
349,1,PV,0.08
350,1,PV,0.63
351,1,PV,0.07
352,1,PV,0.62
353,1,PV,0.11
354,1,PV,0.03
355,1,PV,0.53
356,1,PV,0.04
357,1,PV,0.48
358,1,PV,0.04
359,1,PV,0.3
360,1,PV,0.02
361,1,PV,0.68
362,1,PV,0.07
363,1,PV,0.56
364,1,PV,0.02
365,1,PV,0.3
366,1,PV,0.02
367,1,PV,0.09
368,1,PV,0.6
369,1,PV,0.07
370,1,PV,0.49
371,1,PV,0.04
372,1,PV,0.07
373,1,PV,0.54
374,1,PV,0.03
375,1,PV,0.58
376,1,PV,0.06
377,1,PV,0.04
378,1,PV,0.2
379,1,PV,0.02
380,1,PV,0.17
381,1,PV,0.05
382,1,PV,0.66
383,1,PV,0.25
384,1,PV,0.02
385,1,PV,0.4
386,1,PV,0.05
387,1,PV,0.65
388,1,PV,0.03
389,1,PV,0.09
390,1,PV,0.09
391,1,PV,0.46
392,1,PV,0.05
393,1,PV,0.45
394,1,PV,0.04
395,1,PV,0.09
396,1,PV,0.54
397,1,PV,0.1
398,1,PV,0.02
399,1,PV,0.43
400,1,PV,0.1
401,1,PV,0.03
402,1,PV,0.4
403,1,PV,0.06
404,1,PV,0.07
405,1,PV,0.45
406,1,PV,0.05
407,1,PV,0.27
408,1,PV,0.02
409,1,PV,0.66
410,1,PV,0.07
411,1,PV,0.59
412,1,PV,0.06
413,1,PV,0.4
414,1,PV,0.03
415,1,PV,0.29
416,1,PV,0.03
417,1,PV,0.43
418,1,PV,0.03
419,1,PV,0.29
420,1,PV,0.04
421,1,PV,0.43
422,1,PV,0.05
423,1,PV,0.05
424,1,PV,0.51
425,1,PV,0.04
426,1,PV,0.51
427,1,PV,0.07
428,1,PV,0.5
429,1,PV,0.03
430,1,PV,0.34
431,1,PV,0.03
432,1,PV,0.46
433,1,PV,0.02
434,1,PV,0.3
435,1,PV,0.05
436,1,PV,0.62
437,1,PV,0.08
438,1,PV,0.5
439,1,PV,0.04
440,1,PV,0.14
441,1,PV,0.03
442,1,PV,0.53
443,1,PV,0.03
444,1,PV,0.54
445,1,PV,0.06
446,1,PV,0.24
447,1,PV,0.03
448,1,PV,0.32
449,1,PV,0.02
450,1,PV,0.32
451,1,PV,0.03
452,1,PV,0.57
453,1,PV,0.05
454,1,PV,0.39
455,1,PV,0.04
456,1,PV,0.47
457,1,PV,0.04
458,1,PV,0.59
459,1,PV,0.04
460,1,PV,0.52
461,1,PV,0.02
462,1,PV,0.29
463,1,PV,0.06
464,1,PV,0.64
465,1,PV,0.07
466,1,PV,0.6
467,1,PV,0.02
468,1,PV,0.13
469,1,PV,0.46
470,1,PV,0.02
471,1,PV,0.56
472,1,PV,0.05
473,1,PV,0.62
474,1,PV,0.07
475,1,PV,0.53
476,1,PV,0.03
477,1,PV,0.1
478,1,PV,0.65
479,1,PV,0.04
480,1,PV,0.58
481,1,PV,0.02
482,1,PV,0.49
483,1,PV,0.02
484,1,PV,0.32
485,1,PV,0.02
486,1,PV,0.06
487,1,PV,0.51
488,1,PV,0.03
489,1,PV,0.01
490,1,PV,0.38
491,1,PV,0.05
492,1,PV,0.57
493,1,PV,0.03
494,1,PV,0.47
495,1,PV,0.01
496,1,PV,0.59
497,1,PV,0.05
498,1,PV,0.59
499,1,PV,0.02
500,1,PV,0.55
501,1,PV,0.01
502,1,PV,0.53
503,1,PV,0.04
504,1,PV,0.61
505,1,PV,0.06
506,1,PV,0.02
507,1,PV,0.3
508,1,PV,0.01
509,1,PV,0
510,1,PV,0.45
511,1,PV,0.01
512,1,PV,0.31
513,1,PV,0.01
514,1,PV,0
515,1,PV,0.12
516,1,PV,0
517,1,PV,0.46
518,1,PV,0.07
519,1,PV,0
520,1,PV,0.07
521,1,PV,0.05
522,1,PV,0.32
523,1,PV,0.03
524,1,PV,0.51
525,1,PV,0.02
526,1,PV,0.4
527,1,PV,0.02
528,1,PV,0.37
529,1,PV,0.01
530,1,PV,0
531,1,PV,0.21
532,1,PV,0.01
533,1,PV,0.08
534,1,PV,0
535,1,PV,0.26
536,1,PV,0.01
537,1,PV,0.05
538,1,PV,0
539,1,PV,0
540,1,PV,0.06
541,1,PV,0.39
542,1,PV,0.03
543,1,PV,0.3
544,1,PV,0
545,1,PV,0.29
546,1,PV,0
547,1,PV,0.1
548,1,PV,0.01
549,1,PV,0.07
550,1,PV,0.01
551,1,PV,0.44
552,1,PV,0.02
553,1,PV,0.02
554,1,PV,0.13
555,1,PV,0.03
556,1,PV,0.57
557,1,PV,0.04
558,1,PV,0.02
559,1,PV,0.01
560,1,PV,0.53
561,1,PV,0.02
562,1,PV,0.01
563,1,PV,0.28
564,1,PV,0
565,1,PV,0.15
566,1,PV,0.49
567,1,PV,0.01
568,1,PV,0.13
569,1,PV,0.01
570,1,PV,0.28
571,1,PV,0.01
572,1,PV,0.09
573,1,PV,0.02
574,1,PV,0.43
575,1,PV,0.04
576,1,PV,0.49
577,1,PV,0.02
578,1,PV,0.04
579,1,PV,0.1
580,1,PV,0
581,1,PV,0.12
582,1,PV,0.01
583,1,PV,0.13
584,1,PV,0
585,1,PV,0.11
586,1,PV,0
587,1,PV,0.11
588,1,PV,0
589,1,PV,0.11
590,1,PV,0.04
591,1,PV,0
592,1,PV,0
593,1,PV,0.39
594,1,PV,0
595,1,PV,0
596,1,PV,0.08
597,1,PV,0
598,1,PV,0.34
599,1,PV,0.04
600,1,PV,0
601,1,PV,0.12
602,1,PV,0
603,1,PV,0.34
604,1,PV,0.04
605,1,PV,0
606,1,PV,0
607,1,PV,0.05
608,1,PV,0.01
609,1,PV,0.35
610,1,PV,0.05
611,1,PV,0
612,1,PV,0.02
613,1,PV,0.01
614,1,PV,0.46
615,1,PV,0.03
616,1,PV,0.01
617,1,PV,0.42
618,1,PV,0.03
619,1,PV,0
620,1,PV,0.24
621,1,PV,0.05
622,1,PV,0.03
623,1,PV,0.33
624,1,PV,0
625,1,PV,0
626,1,PV,0.12
627,1,PV,0
628,1,PV,0.01
629,1,PV,0.35
630,1,PV,0.01
631,1,PV,0
632,1,PV,0.23
633,1,PV,0.01
634,1,PV,0.3
635,1,PV,0.07
636,1,PV,0.01
637,1,PV,0.29
638,1,PV,0.01
639,1,PV,0.1
640,1,PV,0.01
641,1,PV,0.06
642,1,PV,0
643,1,PV,0.05
644,1,PV,0
645,1,PV,0.02
646,1,PV,0
647,1,PV,0.01
648,1,PV,0.02
649,1,PV,0.38
650,1,PV,0.01
651,1,PV,0.02
652,1,PV,0.42
653,1,PV,0.03
654,1,PV,0.02
655,1,PV,0.02
656,1,PV,0
657,1,PV,0.02
658,1,PV,0
659,1,PV,0.02
660,1,PV,0
661,1,PV,0.03
662,1,PV,0
663,1,PV,0.03
664,1,PV,0.02
665,1,PV,0.01
666,1,PV,0.03
667,1,PV,0
668,1,PV,0
669,1,PV,0
670,1,PV,0.01
671,1,PV,0
672,1,PV,0.02
673,1,PV,0
674,1,PV,0.01
675,1,PV,0
676,1,PV,0.01
677,1,PV,0
678,1,PV,0.02
679,1,PV,0
680,1,PV,0.04
681,1,PV,0
682,1,PV,0
683,1,PV,0.02
684,1,PV,0
685,1,PV,0.04
686,1,PV,0.01
687,1,PV,0.01
688,1,PV,0.01
689,1,PV,0
690,1,PV,0.01
691,1,PV,0
692,1,PV,0.04
693,1,PV,0
694,1,PV,0.02
695,1,PV,0
696,1,PV,0.01
697,1,PV,0.01
698,1,PV,0
699,1,PV,0.01
700,1,PV,0
701,1,PV,0
702,1,PV,0.01
703,1,PV,0
704,1,PV,0.01
705,1,PV,0
706,1,PV,0.01
707,1,PV,0.02
708,1,PV,0.02
709,1,PV,0.01
710,1,PV,0.03
711,1,PV,0
712,1,PV,0
713,1,PV,0.02
714,1,PV,0.01
715,1,PV,0
716,1,PV,0.01
717,1,PV,0
718,1,PV,0
719,1,PV,0.05
720,1,PV,0
1,2,PV,0
2,2,PV,0.03
3,2,PV,0
4,2,PV,0.02
5,2,PV,0
6,2,PV,0
7,2,PV,0
8,2,PV,0.02
9,2,PV,0.02
10,2,PV,0.02
11,2,PV,0
12,2,PV,0.04
13,2,PV,0
14,2,PV,0.02
15,2,PV,0
16,2,PV,0.07
17,2,PV,0
18,2,PV,0
19,2,PV,0.01
20,2,PV,0
21,2,PV,0
22,2,PV,0.34
23,2,PV,0.02
24,2,PV,0
25,2,PV,0
26,2,PV,0.02
27,2,PV,0.01
28,2,PV,0.04
29,2,PV,0
30,2,PV,0.02
31,2,PV,0.01
32,2,PV,0.28
33,2,PV,0.01
34,2,PV,0.1
35,2,PV,0
36,2,PV,0.03
37,2,PV,0
38,2,PV,0.03
39,2,PV,0.02
40,2,PV,0.38
41,2,PV,0
42,2,PV,0.01
43,2,PV,0
44,2,PV,0.04
45,2,PV,0
46,2,PV,0.1
47,2,PV,0
48,2,PV,0.03
49,2,PV,0
50,2,PV,0.01
51,2,PV,0
52,2,PV,0
53,2,PV,0.05
54,2,PV,0.03
55,2,PV,0.32
56,2,PV,0.01
57,2,PV,0.02
58,2,PV,0.42
59,2,PV,0.01
60,2,PV,0
61,2,PV,0.37
62,2,PV,0.01
63,2,PV,0
64,2,PV,0.04
65,2,PV,0.02
66,2,PV,0.01
67,2,PV,0.04
68,2,PV,0.03
69,2,PV,0
70,2,PV,0.11
71,2,PV,0
72,2,PV,0.04
73,2,PV,0
74,2,PV,0.01
75,2,PV,0
76,2,PV,0.04
77,2,PV,0
78,2,PV,0.05
79,2,PV,0.02
80,2,PV,0.47
81,2,PV,0.04
82,2,PV,0
83,2,PV,0.01
84,2,PV,0.01
85,2,PV,0
86,2,PV,0.01
87,2,PV,0.02
88,2,PV,0.09
89,2,PV,0.01
90,2,PV,0.05
91,2,PV,0
92,2,PV,0.04
93,2,PV,0
94,2,PV,0.1
95,2,PV,0
96,2,PV,0.08
97,2,PV,0.02
98,2,PV,0.14
99,2,PV,0.04
100,2,PV,0.01
101,2,PV,0.34
102,2,PV,0.01
103,2,PV,0.04
104,2,PV,0.41
105,2,PV,0.01
106,2,PV,0.01
107,2,PV,0.5
108,2,PV,0.01
109,2,PV,0.35
110,2,PV,0
111,2,PV,0.03
112,2,PV,0.56
113,2,PV,0.01
114,2,PV,0.31
115,2,PV,0.02
116,2,PV,0.08
117,2,PV,0.01
118,2,PV,0.42
119,2,PV,0.01
120,2,PV,0.53
121,2,PV,0.02
122,2,PV,0.5
123,2,PV,0.05
124,2,PV,0.03
125,2,PV,0.31
126,2,PV,0.01
127,2,PV,0
128,2,PV,0.26
129,2,PV,0.01
130,2,PV,0
131,2,PV,0.01
132,2,PV,0.38
133,2,PV,0.07
134,2,PV,0.01
135,2,PV,0.25
136,2,PV,0.01
137,2,PV,0.03
138,2,PV,0.02
139,2,PV,0.05
140,2,PV,0.01
141,2,PV,0.38
142,2,PV,0.01
143,2,PV,0.02
144,2,PV,0.04
145,2,PV,0.48
146,2,PV,0.02
147,2,PV,0.07
148,2,PV,0.49
149,2,PV,0.06
150,2,PV,0
151,2,PV,0.43
152,2,PV,0.02
153,2,PV,0.51
154,2,PV,0.02
155,2,PV,0.55
156,2,PV,0.02
157,2,PV,0.54
158,2,PV,0.1
159,2,PV,0.02
160,2,PV,0.32
161,2,PV,0.05
162,2,PV,0.55
163,2,PV,0.04
164,2,PV,0.11
165,2,PV,0
166,2,PV,0.29
167,2,PV,0.02
168,2,PV,0.18
169,2,PV,0.06
170,2,PV,0.6
171,2,PV,0.01
172,2,PV,0.3
173,2,PV,0.01
174,2,PV,0.03
175,2,PV,0.07
176,2,PV,0.44
177,2,PV,0.09
178,2,PV,0
179,2,PV,0.13
180,2,PV,0.5
181,2,PV,0.02
182,2,PV,0.57
183,2,PV,0.02
184,2,PV,0.57
185,2,PV,0.07
186,2,PV,0.01
187,2,PV,0.52
188,2,PV,0.07
189,2,PV,0
190,2,PV,0.41
191,2,PV,0.01
192,2,PV,0.17
193,2,PV,0.01
194,2,PV,0
195,2,PV,0.4
196,2,PV,0.02
197,2,PV,0.47
198,2,PV,0.03
199,2,PV,0.45
200,2,PV,0.02
201,2,PV,0.52
202,2,PV,0.03
203,2,PV,0.09
204,2,PV,0.1
205,2,PV,0.39
206,2,PV,0.03
207,2,PV,0.47
208,2,PV,0.05
209,2,PV,0.37
210,2,PV,0.02
211,2,PV,0.51
212,2,PV,0.05
213,2,PV,0.11
214,2,PV,0.06
215,2,PV,0.53
216,2,PV,0.03
217,2,PV,0.46
218,2,PV,0.02
219,2,PV,0.51
220,2,PV,0.02
221,2,PV,0.37
222,2,PV,0.02
223,2,PV,0.46
224,2,PV,0.01
225,2,PV,0.28
226,2,PV,0.02
227,2,PV,0.63
228,2,PV,0.05
229,2,PV,0.67
230,2,PV,0.07
231,2,PV,0.7
232,2,PV,0.08
233,2,PV,0.59
234,2,PV,0.03
235,2,PV,0.64
236,2,PV,0.05
237,2,PV,0.7
238,2,PV,0.07
239,2,PV,0.68
240,2,PV,0.03
241,2,PV,0.65
242,2,PV,0.05
243,2,PV,0.71
244,2,PV,0.05
245,2,PV,0.25
246,2,PV,0.03
247,2,PV,0.29
248,2,PV,0.02
249,2,PV,0.37
250,2,PV,0.02
251,2,PV,0.23
252,2,PV,0.05
253,2,PV,0.7
254,2,PV,0.06
255,2,PV,0.4
256,2,PV,0.01
257,2,PV,0.03
258,2,PV,0.6
259,2,PV,0.04
260,2,PV,0.28
261,2,PV,0.02
262,2,PV,0.48
263,2,PV,0.03
264,2,PV,0.25
265,2,PV,0.04
266,2,PV,0.35
267,2,PV,0.02
268,2,PV,0.01
269,2,PV,0.12
270,2,PV,0.01
271,2,PV,0.39
272,2,PV,0.02
273,2,PV,0.05
274,2,PV,0.32
275,2,PV,0.05
276,2,PV,0.59
277,2,PV,0.02
278,2,PV,0.37
279,2,PV,0.03
280,2,PV,0.11
281,2,PV,0.04
282,2,PV,0.47
283,2,PV,0.34
284,2,PV,0.01
285,2,PV,0.13
286,2,PV,0.5
287,2,PV,0.04
288,2,PV,0.49
289,2,PV,0.07
290,2,PV,0.01
291,2,PV,0.24
292,2,PV,0.1
293,2,PV,0.47
294,2,PV,0.1
295,2,PV,0.59
296,2,PV,0.17
297,2,PV,0.03
298,2,PV,0.37
299,2,PV,0.05
300,2,PV,0.39
301,2,PV,0.02
302,2,PV,0.42
303,2,PV,0.07
304,2,PV,0.61
305,2,PV,0.05
306,2,PV,0.01
307,2,PV,0.35
308,2,PV,0.03
309,2,PV,0.63
310,2,PV,0.04
311,2,PV,0.65
312,2,PV,0.07
313,2,PV,0.69
314,2,PV,0.09
315,2,PV,0.57
316,2,PV,0.11
317,2,PV,0.61
318,2,PV,0.07
319,2,PV,0.56
320,2,PV,0.06
321,2,PV,0.01
322,2,PV,0.45
323,2,PV,0.68
324,2,PV,0.03
325,2,PV,0.46
326,2,PV,0.08
327,2,PV,0.57
328,2,PV,0.03
329,2,PV,0.32
330,2,PV,0.08
331,2,PV,0.65
332,2,PV,0.05
333,2,PV,0.01
334,2,PV,0.2
335,2,PV,0.33
336,2,PV,0.06
337,2,PV,0.71
338,2,PV,0.2
339,2,PV,0.04
340,2,PV,0.47
341,2,PV,0.05
342,2,PV,0.57
343,2,PV,0.07
344,2,PV,0.65
345,2,PV,0.1
346,2,PV,0.51
347,2,PV,0.06
348,2,PV,0.69
349,2,PV,0.05
350,2,PV,0.26
351,2,PV,0.06
352,2,PV,0.35
353,2,PV,0.02
354,2,PV,0.06
355,2,PV,0.06
356,2,PV,0.51
357,2,PV,0.03
358,2,PV,0.54
359,2,PV,0.02
360,2,PV,0.26
361,2,PV,0.07
362,2,PV,0.17
363,2,PV,0.1
364,2,PV,0.04
365,2,PV,0.03
366,2,PV,0.39
367,2,PV,0.06
368,2,PV,0.66
369,2,PV,0.09
370,2,PV,0.6
371,2,PV,0.09
372,2,PV,0.69
373,2,PV,0.09
374,2,PV,0.69
375,2,PV,0.05
376,2,PV,0.61
377,2,PV,0.07
378,2,PV,0.62
379,2,PV,0.02
380,2,PV,0.44
381,2,PV,0.04
382,2,PV,0.3
383,2,PV,0.07
384,2,PV,0.63
385,2,PV,0.1
386,2,PV,0.07
387,2,PV,0.49
388,2,PV,0.04
389,2,PV,0.38
390,2,PV,0.05
391,2,PV,0.47
392,2,PV,0.04
393,2,PV,0.56
394,2,PV,0.07
395,2,PV,0.58
396,2,PV,0.05
397,2,PV,0.63
398,2,PV,0.07
399,2,PV,0.67
400,2,PV,0.05
401,2,PV,0.31
402,2,PV,0.08
403,2,PV,0.04
404,2,PV,0.62
405,2,PV,0.08
406,2,PV,0.03
407,2,PV,0.27
408,2,PV,0.04
409,2,PV,0.42
410,2,PV,0.06
411,2,PV,0.47
412,2,PV,0.06
413,2,PV,0.59
414,2,PV,0.02
415,2,PV,0.27
416,2,PV,0.68
417,2,PV,0.05
418,2,PV,0.11
419,2,PV,0.01
420,2,PV,0.14
421,2,PV,0.06
422,2,PV,0.56
423,2,PV,0.04
424,2,PV,0.65
425,2,PV,0.1
426,2,PV,0.1
427,2,PV,0.34
428,2,PV,0.02
429,2,PV,0.29
430,2,PV,0.04
431,2,PV,0.52
432,2,PV,0.06
433,2,PV,0.04
434,2,PV,0.25
435,2,PV,0.01
436,2,PV,0.13
437,2,PV,0.04
438,2,PV,0.47
439,2,PV,0.02
440,2,PV,0.44
441,2,PV,0.07
442,2,PV,0.6
443,2,PV,0.28
444,2,PV,0.04
445,2,PV,0.43
446,2,PV,0.06
447,2,PV,0.01
448,2,PV,0.23
449,2,PV,0.03
450,2,PV,0.31
451,2,PV,0.04
452,2,PV,0.02
453,2,PV,0.14
454,2,PV,0.02
455,2,PV,0.6
456,2,PV,0.05
457,2,PV,0.58
458,2,PV,0.04
459,2,PV,0.59
460,2,PV,0.05
461,2,PV,0.07
462,2,PV,0.66
463,2,PV,0.06
464,2,PV,0.5
465,2,PV,0.02
466,2,PV,0.45
467,2,PV,0.01
468,2,PV,0.13
469,2,PV,0.67
470,2,PV,0.06
471,2,PV,0.33
472,2,PV,0.03
473,2,PV,0.51
474,2,PV,0.06
475,2,PV,0.6
476,2,PV,0.04
477,2,PV,0.02
478,2,PV,0.52
479,2,PV,0.06
480,2,PV,0.53
481,2,PV,0.04
482,2,PV,0.56
483,2,PV,0.08
484,2,PV,0.01
485,2,PV,0.57
486,2,PV,0.08
487,2,PV,0.63
488,2,PV,0.05
489,2,PV,0.54
490,2,PV,0.04
491,2,PV,0.04
492,2,PV,0.38
493,2,PV,0.04
494,2,PV,0.35
495,2,PV,0.02
496,2,PV,0.31
497,2,PV,0.02
498,2,PV,0.49
499,2,PV,0.03
500,2,PV,0.39
501,2,PV,0.03
502,2,PV,0.33
503,2,PV,0.01
504,2,PV,0.17
505,2,PV,0.01
506,2,PV,0.55
507,2,PV,0.07
508,2,PV,0.05
509,2,PV,0.42
510,2,PV,0.01
511,2,PV,0.33
512,2,PV,0.01
513,2,PV,0.52
514,2,PV,0.08
515,2,PV,0
516,2,PV,0.25
517,2,PV,0.04
518,2,PV,0.41
519,2,PV,0.04
520,2,PV,0.6
521,2,PV,0.04
522,2,PV,0.1
523,2,PV,0.01
524,2,PV,0.45
525,2,PV,0.13
526,2,PV,0
527,2,PV,0.52
528,2,PV,0.04
529,2,PV,0.19
530,2,PV,0.02
531,2,PV,0
532,2,PV,0.1
533,2,PV,0.54
534,2,PV,0.05
535,2,PV,0.55
536,2,PV,0.02
537,2,PV,0.53
538,2,PV,0.05
539,2,PV,0.53
540,2,PV,0.11
541,2,PV,0.06
542,2,PV,0.5
543,2,PV,0.02
544,2,PV,0.37
545,2,PV,0.05
546,2,PV,0.57
547,2,PV,0.04
548,2,PV,0.41
549,2,PV,0.05
550,2,PV,0.57
551,2,PV,0.04
552,2,PV,0
553,2,PV,0.11
554,2,PV,0.03
555,2,PV,0.57
556,2,PV,0.04
557,2,PV,0.46
558,2,PV,0.01
559,2,PV,0.47
560,2,PV,0.02
561,2,PV,0
562,2,PV,0.05
563,2,PV,0
564,2,PV,0.18
565,2,PV,0
566,2,PV,0.12
567,2,PV,0
568,2,PV,0.34
569,2,PV,0.03
570,2,PV,0.47
571,2,PV,0.02
572,2,PV,0.32
573,2,PV,0.04
574,2,PV,0.45
575,2,PV,0.02
576,2,PV,0.38
577,2,PV,0.01
578,2,PV,0.02
579,2,PV,0.51
580,2,PV,0.02
581,2,PV,0.27
