T,O,value
186,1,0.8
187,1,0.68
188,1,0.84
189,1,0.69
190,1,0.81
191,1,0.66
192,1,0.85
193,1,0.78
194,1,0.53
195,1,0.76
196,1,0.6
197,1,0.69
198,1,0.69
199,1,0.54
200,1,0.71
201,1,0.61
202,1,0.79
203,1,0.75
204,1,0.54
205,1,0.77
206,1,0.66
207,1,0.87
208,1,0.82
209,1,0.54
210,1,0.78
211,1,0.62
212,1,0.75
213,1,0.66
214,1,0.54
215,1,0.71
216,1,0.59
217,1,0.68
218,1,0.62
219,1,0.81
220,1,0.68
221,1,0.6
222,1,0.76
223,1,0.63
224,1,0.76
225,1,0.62
226,1,0.77
227,1,0.63
228,1,0.55
229,1,0.65
230,1,0.58
231,1,0.78
232,1,0.62
233,1,0.65
234,1,0.57
235,1,0.77
236,1,0.62
237,1,0.77
238,1,0.64
239,1,0.78
240,1,0.63
241,1,0.58
242,1,0.5
243,1,0.74
244,1,0.6
245,1,0.74
246,1,0.59
247,1,0.79
248,1,0.65
249,1,0.78
250,1,0.62
251,1,0.74
252,1,0.59
253,1,0.68
254,1,0.54
255,1,0.62
256,1,0.55
257,1,0.74
258,1,0.7
259,1,0.5
260,1,0.73
261,1,0.57
262,1,0.74
263,1,0.57
264,1,0.68
265,1,0.59
266,1,0.74
267,1,0.58
268,1,0.65
269,1,0.54
270,1,0.62
271,1,0.5
272,1,0.62
273,1,0.56
274,1,0.75
275,1,0.63
276,1,0.78
277,1,0.59
278,1,0.71
279,1,0.58
280,1,0.74
281,1,0.55
282,1,0.62
283,1,0.51
284,1,0.63
285,1,0.54
286,1,0.72
287,1,0.68
288,1,0.43
289,1,0.6
290,1,0.54
291,1,0.71
292,1,0.56
293,1,0.71
294,1,0.72
295,1,0.69
296,1,0.53
297,1,0.76
298,1,0.57
299,1,0.62
300,1,0.53
301,1,0.66
302,1,0.55
303,1,0.74
304,1,0.58
305,1,0.74
306,1,0.54
307,1,0.7
308,1,0.6
309,1,0.73
310,1,0.55
311,1,0.55
312,1,0.62
313,1,0.54
314,1,0.73
315,1,0.57
316,1,0.75
317,1,0.59
318,1,0.73
319,1,0.57
320,1,0.72
321,1,0.58
322,1,0.77
323,1,0.72
324,1,0.44
325,1,0.61
326,1,0.52
327,1,0.64
328,1,0.55
329,1,0.74
330,1,0.55
331,1,0.73
332,1,0.57
333,1,0.73
334,1,0.53
335,1,0.73
336,1,0.55
337,1,0.72
338,1,0.59
339,1,0.63
340,1,0.51
341,1,0.6
342,1,0.55
343,1,0.73
344,1,0.75
345,1,0.53
346,1,0.7
347,1,0.56
348,1,0.74
349,1,0.57
350,1,0.73
351,1,0.58
352,1,0.75
353,1,0.7
354,1,0.46
355,1,0.61
356,1,0.49
357,1,0.59
358,1,0.53
359,1,0.72
360,1,0.54
361,1,0.72
362,1,0.55
363,1,0.71
364,1,0.55
365,1,0.72
366,1,0.61
367,1,0.51
368,1,0.74
369,1,0.59
370,1,0.62
371,1,0.56
372,1,0.43
373,1,0.63
374,1,0.52
375,1,0.72
376,1,0.68
377,1,0.48
378,1,0.71
379,1,0.52
380,1,0.73
381,1,0.51
382,1,0.72
383,1,0.71
384,1,0.52
385,1,0.72
386,1,0.54
387,1,0.63
388,1,0.52
389,1,0.58
390,1,0.54
391,1,0.73
392,1,0.58
393,1,0.73
394,1,0.61
395,1,0.49
396,1,0.72
397,1,0.68
398,1,0.48
399,1,0.72
400,1,0.67
401,1,0.46
402,1,0.72
403,1,0.68
404,1,0.47
405,1,0.62
406,1,0.54
407,1,0.63
408,1,0.52
409,1,0.68
410,1,0.55
411,1,0.69
412,1,0.58
413,1,0.74
414,1,0.54
415,1,0.7
416,1,0.55
417,1,0.7
418,1,0.58
419,1,0.59
420,1,0.53
421,1,0.62
422,1,0.59
423,1,0.5
424,1,0.73
425,1,0.55
426,1,0.72
427,1,0.58
428,1,0.71
429,1,0.57
430,1,0.69
431,1,0.57
432,1,0.75
433,1,0.56
434,1,0.58
435,1,0.53
436,1,0.62
437,1,0.54
438,1,0.71
439,1,0.54
440,1,0.7
441,1,0.52
442,1,0.73
443,1,0.55
444,1,0.72
445,1,0.59
446,1,0.71
447,1,0.51
448,1,0.63
449,1,0.51
450,1,0.58
451,1,0.53
452,1,0.72
453,1,0.56
454,1,0.7
455,1,0.58
456,1,0.73
457,1,0.58
458,1,0.7
459,1,0.57
460,1,0.72
461,1,0.52
462,1,0.6
463,1,0.52
464,1,0.64
465,1,0.55
466,1,0.72
467,1,0.56
468,1,0.63
469,1,0.73
470,1,0.55
471,1,0.7
472,1,0.58
473,1,0.73
474,1,0.6
475,1,0.76
476,1,0.57
477,1,0.55
478,1,0.63
479,1,0.53
480,1,0.71
481,1,0.55
482,1,0.72
483,1,0.58
484,1,0.71
485,1,0.61
486,1,0.57
487,1,0.73
488,1,0.72
489,1,0.46
490,1,0.71
491,1,0.57
492,1,0.63
493,1,0.52
494,1,0.64
495,1,0.53
496,1,0.7
497,1,0.59
498,1,0.74
499,1,0.59
500,1,0.74
501,1,0.57
502,1,0.73
503,1,0.59
504,1,0.74
505,1,0.6
506,1,0.44
507,1,0.64
508,1,0.66
509,1,0.48
510,1,0.72
511,1,0.56
512,1,0.7
513,1,0.68
514,1,0.47
515,1,0.69
516,1,0.5
517,1,0.72
518,1,0.7
519,1,0.56
520,1,0.66
521,1,0.45
522,1,0.61
523,1,0.53
524,1,0.63
525,1,0.54
526,1,0.73
527,1,0.6
528,1,0.73
529,1,0.71
530,1,0.51
531,1,0.76
532,1,0.61
533,1,0.77
534,1,0.52
535,1,0.74
536,1,0.55
537,1,0.61
538,1,0.59
539,1,0.5
540,1,0.63
541,1,0.78
542,1,0.64
543,1,0.76
544,1,0.61
545,1,0.78
546,1,0.63
547,1,0.78
548,1,0.51
549,1,0.6
550,1,0.54
551,1,0.73
552,1,0.63
553,1,0.52
554,1,0.74
555,1,0.59
556,1,0.79
557,1,0.67
558,1,0.76
559,1,0.55
560,1,0.77
561,1,0.76
562,1,0.49
563,1,0.65
564,1,0.55
565,1,0.64
566,1,0.66
567,1,0.6
568,1,0.78
569,1,0.53
570,1,0.79
571,1,0.64
572,1,0.76
573,1,0.55
574,1,0.71
575,1,0.64
576,1,0.82
577,1,0.82
578,1,0.56
579,1,0.69
580,1,0.55
581,1,0.79
582,1,0.59
583,1,0.77
584,1,0.52
585,1,0.72
586,1,0.57
587,1,0.77
588,1,0.58
589,1,0.81
590,1,0.64
591,1,0.57
592,1,0.6
593,1,0.75
594,1,0.7
595,1,0.56
596,1,0.83
597,1,0.61
598,1,0.84
599,1,0.82
600,1,0.54
601,1,0.79
602,1,0.58
603,1,0.79
604,1,0.79
605,1,0.66
606,1,0.59
607,1,0.81
608,1,0.56
609,1,0.72
610,1,0.69
611,1,0.57
612,1,0.82
613,1,0.66
614,1,0.87
615,1,0.9
616,1,0.64
617,1,0.85
618,1,0.83
619,1,0.58
620,1,0.82
621,1,0.85
622,1,0.63
623,1,0.75
624,1,0.83
625,1,0.58
626,1,0.79
627,1,0.72
628,1,0.66
629,1,0.9
630,1,0.89
631,1,0.6
632,1,0.83
633,1,0.7
634,1,0.85
635,1,0.84
636,1,0.71
637,1,0.82
638,1,0.69
639,1,0.78
640,1,0.68
641,1,0.87
642,1,0.59
643,1,0.82
644,1,0.63
645,1,0.89
646,1,0.58
647,1,0.86
648,1,0.65
649,1,0.89
650,1,0.87
651,1,0.54
652,1,0.7
653,1,0.75
654,1,0.65
655,1,0.85
656,1,0.6
657,1,0.87
658,1,0.65
659,1,0.91
660,1,0.61
661,1,0.85
662,1,0.61
663,1,0.88
664,1,0.65
665,1,0.73
666,1,0.91
667,1,0.73
668,1,0.91
669,1,0.63
670,1,0.91
671,1,0.66
672,1,0.92
673,1,0.68
674,1,0.85
675,1,0.71
676,1,0.73
677,1,0.58
678,1,0.85
679,1,0.64
680,1,0.9
681,1,0.8
682,1,0.61
683,1,0.85
684,1,0.63
685,1,0.87
686,1,0.68
687,1,0.67
688,1,0.87
689,1,0.6
690,1,0.86
691,1,0.64
692,1,0.92
693,1,0.66
694,1,0.9
695,1,0.59
696,1,0.88
697,1,0.64
698,1,0.74
699,1,0.88
700,1,0.89
701,1,0.64
702,1,0.81
703,1,0.59
704,1,0.89
705,1,0.81
706,1,0.64
707,1,0.71
708,1,0.87
709,1,0.66
710,1,0.8
711,1,0.9
712,1,0.65
713,1,0.86
714,1,0.66
715,1,0.54
716,1,0.69
717,1,0.87
718,1,0.58
719,1,0.8
720,1,0.78
1,2,0.8624999999999999
2,2,0.69
3,2,0.9889999999999999
4,2,1.0
5,2,0.6325
6,2,0.9429999999999998
7,2,0.8624999999999999
8,2,1.0
9,2,0.736
10,2,0.8624999999999999
11,2,0.6669999999999999
12,2,0.9085
13,2,0.5864999999999999
14,2,0.759
15,2,1.0
16,2,0.7474999999999999
17,2,1.0
18,2,0.6784999999999999
19,2,0.9774999999999999
20,2,0.9889999999999999
21,2,0.6554999999999999
22,2,1.0
23,2,0.7244999999999999
24,2,0.9774999999999999
25,2,0.7934999999999999
26,2,1.0
27,2,0.69
28,2,1.0
29,2,0.6325
30,2,0.9544999999999999
31,2,0.8969999999999999
32,2,1.0
33,2,1.0
34,2,0.6669999999999999
35,2,1.0
36,2,1.0
37,2,0.6784999999999999
38,2,0.8969999999999999
39,2,0.851
40,2,1.0
41,2,0.8394999999999999
42,2,1.0
43,2,0.736
44,2,1.0
45,2,0.7474999999999999
46,2,1.0
47,2,0.8049999999999999
48,2,1.0
49,2,1.0
50,2,0.8624999999999999
51,2,0.8739999999999999
52,2,1.0
53,2,0.9085
54,2,0.759
55,2,1.0
56,2,0.8394999999999999
57,2,0.9889999999999999
58,2,0.7474999999999999
59,2,0.9659999999999999
60,2,0.9085
61,2,0.759
62,2,1.0
63,2,0.7014999999999999
64,2,0.9659999999999999
65,2,0.69
66,2,0.8624999999999999
67,2,0.9544999999999999
68,2,1.0
69,2,0.8969999999999999
70,2,0.7244999999999999
71,2,1.0
72,2,0.9199999999999999
73,2,0.713
74,2,0.9544999999999999
75,2,0.7705
76,2,1.0
77,2,0.9429999999999998
78,2,0.6325
79,2,0.8164999999999999
80,2,0.8164999999999999
81,2,1.0
82,2,0.7705
83,2,1.0
84,2,0.713
85,2,0.9199999999999999
86,2,0.7934999999999999
87,2,0.9429999999999998
88,2,0.9429999999999998
89,2,0.6669999999999999
90,2,0.8164999999999999
91,2,0.7705
92,2,0.644
93,2,0.8164999999999999
94,2,0.9774999999999999
95,2,0.69
96,2,0.9315
97,2,0.7014999999999999
98,2,1.0
99,2,0.9199999999999999
100,2,0.6554999999999999
101,2,0.8855
102,2,0.9199999999999999
103,2,0.69
104,2,0.8739999999999999
105,2,0.759
106,2,0.9429999999999998
107,2,0.9315
108,2,0.7014999999999999
109,2,0.9544999999999999
110,2,0.8049999999999999
111,2,0.9889999999999999
112,2,0.828
113,2,0.9315
114,2,0.782
115,2,0.828
116,2,0.7244999999999999
117,2,0.782
118,2,0.8164999999999999
119,2,0.644
120,2,0.9315
121,2,0.69
122,2,0.9429999999999998
123,2,0.8049999999999999
124,2,1.0
125,2,1.0
126,2,0.6784999999999999
127,2,0.9429999999999998
128,2,0.8969999999999999
129,2,0.6669999999999999
130,2,0.9429999999999998
131,2,0.9429999999999998
132,2,0.7014999999999999
133,2,0.8855
134,2,0.8394999999999999
135,2,0.7244999999999999
136,2,0.7934999999999999
137,2,0.759
138,2,1.0
139,2,0.851
140,2,1.0
141,2,0.9659999999999999
142,2,0.6669999999999999
143,2,0.9659999999999999
144,2,0.7934999999999999
145,2,0.9315
146,2,0.8164999999999999
147,2,0.8624999999999999
148,2,0.782
149,2,0.8394999999999999
150,2,0.782
151,2,0.6325
152,2,0.8394999999999999
153,2,0.8049999999999999
154,2,0.6554999999999999
155,2,0.9774999999999999
156,2,0.828
157,2,0.713
158,2,0.9889999999999999
159,2,0.7705
160,2,0.9889999999999999
161,2,0.851
162,2,0.69
163,2,0.9085
164,2,0.8969999999999999
165,2,0.8624999999999999
166,2,0.759
167,2,0.8624999999999999
168,2,0.7014999999999999
169,2,0.7244999999999999
170,2,0.9315
171,2,0.9429999999999998
172,2,0.6784999999999999
173,2,0.9315
174,2,0.759
175,2,0.9315
176,2,0.9659999999999999
177,2,0.7014999999999999
178,2,0.8739999999999999
179,2,0.782
180,2,0.6554999999999999
181,2,0.8164999999999999
182,2,0.598
183,2,0.6669999999999999
184,2,0.6669999999999999
185,2,0.6554999999999999
186,2,0.9199999999999999
187,2,0.782
188,2,0.9659999999999999
189,2,0.7934999999999999
190,2,0.9315
191,2,0.759
192,2,0.9774999999999999
193,2,0.8969999999999999
194,2,0.6094999999999999
195,2,0.8739999999999999
196,2,0.69
197,2,0.7934999999999999
198,2,0.7934999999999999
199,2,0.621
200,2,0.8164999999999999
201,2,0.7014999999999999
202,2,0.9085
203,2,0.8624999999999999
204,2,0.621
205,2,0.8855
206,2,0.759
207,2,1.0
208,2,0.9429999999999998
209,2,0.621
210,2,0.8969999999999999
211,2,0.713
212,2,0.8624999999999999
213,2,0.759
214,2,0.621
215,2,0.8164999999999999
216,2,0.6784999999999999
217,2,0.782
218,2,0.713
219,2,0.9315
220,2,0.782
221,2,0.69
222,2,0.8739999999999999
223,2,0.7244999999999999
224,2,0.8739999999999999
225,2,0.713
226,2,0.8855
227,2,0.7244999999999999
228,2,0.6325
229,2,0.7474999999999999
230,2,0.6669999999999999
231,2,0.8969999999999999
232,2,0.713
233,2,0.7474999999999999
234,2,0.6554999999999999
235,2,0.8855
236,2,0.713
237,2,0.8855
238,2,0.736
239,2,0.8969999999999999
240,2,0.7244999999999999
241,2,0.6669999999999999
242,2,0.575
243,2,0.851
244,2,0.69
245,2,0.851
246,2,0.6784999999999999
247,2,0.9085
248,2,0.7474999999999999
249,2,0.8969999999999999
250,2,0.713
251,2,0.851
252,2,0.6784999999999999
253,2,0.782
254,2,0.621
255,2,0.713
256,2,0.6325
257,2,0.851
258,2,0.8049999999999999
259,2,0.575
260,2,0.8394999999999999
261,2,0.6554999999999999
262,2,0.851
263,2,0.6554999999999999
264,2,0.782
265,2,0.6784999999999999
266,2,0.851
267,2,0.6669999999999999
268,2,0.7474999999999999
269,2,0.621
270,2,0.713
271,2,0.575
272,2,0.713
273,2,0.644
274,2,0.8624999999999999
275,2,0.7244999999999999
276,2,0.8969999999999999
277,2,0.6784999999999999
278,2,0.8164999999999999
279,2,0.6669999999999999
280,2,0.851
281,2,0.6325
282,2,0.713
283,2,0.5864999999999999
284,2,0.7244999999999999
285,2,0.621
286,2,0.828
287,2,0.782
288,2,0.49449999999999994
289,2,0.69
290,2,0.621
291,2,0.8164999999999999
292,2,0.644
293,2,0.8164999999999999
294,2,0.828
295,2,0.7934999999999999
296,2,0.6094999999999999
297,2,0.8739999999999999
298,2,0.6554999999999999
299,2,0.713
300,2,0.6094999999999999
301,2,0.759
302,2,0.6325
303,2,0.851
304,2,0.6669999999999999
305,2,0.851
306,2,0.621
307,2,0.8049999999999999
308,2,0.69
309,2,0.8394999999999999
310,2,0.6325
311,2,0.6325
312,2,0.713
313,2,0.621
314,2,0.8394999999999999
315,2,0.6554999999999999
316,2,0.8624999999999999
317,2,0.6784999999999999
318,2,0.8394999999999999
319,2,0.6554999999999999
320,2,0.828
321,2,0.6669999999999999
322,2,0.8855
323,2,0.828
324,2,0.506
325,2,0.7014999999999999
326,2,0.598
327,2,0.736
328,2,0.6325
329,2,0.851
330,2,0.6325
331,2,0.8394999999999999
332,2,0.6554999999999999
333,2,0.8394999999999999
334,2,0.6094999999999999
335,2,0.8394999999999999
336,2,0.6325
337,2,0.828
338,2,0.6784999999999999
339,2,0.7244999999999999
340,2,0.5864999999999999
341,2,0.69
342,2,0.6325
343,2,0.8394999999999999
344,2,0.8624999999999999
345,2,0.6094999999999999
346,2,0.8049999999999999
347,2,0.644
348,2,0.851
349,2,0.6554999999999999
350,2,0.8394999999999999
351,2,0.6669999999999999
352,2,0.8624999999999999
353,2,0.8049999999999999
354,2,0.529
355,2,0.7014999999999999
356,2,0.5635
357,2,0.6784999999999999
358,2,0.6094999999999999
359,2,0.828
360,2,0.621
361,2,0.828
362,2,0.6325
363,2,0.8164999999999999
364,2,0.6325
365,2,0.828
366,2,0.7014999999999999
367,2,0.5864999999999999
368,2,0.851
369,2,0.6784999999999999
370,2,0.713
371,2,0.644
372,2,0.49449999999999994
373,2,0.7244999999999999
374,2,0.598
375,2,0.828
376,2,0.782
377,2,0.5519999999999999
378,2,0.8164999999999999
379,2,0.598
380,2,0.8394999999999999
381,2,0.5864999999999999
382,2,0.828
383,2,0.8164999999999999
384,2,0.598
385,2,0.828
386,2,0.621
387,2,0.7244999999999999
388,2,0.598
389,2,0.6669999999999999
390,2,0.621
391,2,0.8394999999999999
392,2,0.6669999999999999
393,2,0.8394999999999999
394,2,0.7014999999999999
395,2,0.5635
396,2,0.828
397,2,0.782
398,2,0.5519999999999999
399,2,0.828
400,2,0.7705
401,2,0.529
402,2,0.828
403,2,0.782
404,2,0.5405
405,2,0.713
406,2,0.621
407,2,0.7244999999999999
408,2,0.598
409,2,0.782
410,2,0.6325
411,2,0.7934999999999999
412,2,0.6669999999999999
413,2,0.851
414,2,0.621
415,2,0.8049999999999999
416,2,0.6325
417,2,0.8049999999999999
418,2,0.6669999999999999
419,2,0.6784999999999999
420,2,0.6094999999999999
421,2,0.713
422,2,0.6784999999999999
423,2,0.575
424,2,0.8394999999999999
425,2,0.6325
426,2,0.828
427,2,0.6669999999999999
428,2,0.8164999999999999
429,2,0.6554999999999999
430,2,0.7934999999999999
431,2,0.6554999999999999
432,2,0.8624999999999999
433,2,0.644
434,2,0.6669999999999999
435,2,0.6094999999999999
436,2,0.713
437,2,0.621
438,2,0.8164999999999999
439,2,0.621
440,2,0.8049999999999999
441,2,0.598
442,2,0.8394999999999999
443,2,0.6325
444,2,0.828
445,2,0.6784999999999999
446,2,0.8164999999999999
447,2,0.5864999999999999
448,2,0.7244999999999999
449,2,0.5864999999999999
450,2,0.6669999999999999
451,2,0.6094999999999999
452,2,0.828
453,2,0.644
454,2,0.8049999999999999
455,2,0.6669999999999999
456,2,0.8394999999999999
457,2,0.6669999999999999
458,2,0.8049999999999999
459,2,0.6554999999999999
460,2,0.828
461,2,0.598
462,2,0.69
463,2,0.598
464,2,0.736
465,2,0.6325
466,2,0.828
467,2,0.644
468,2,0.7244999999999999
469,2,0.8394999999999999
470,2,0.6325
471,2,0.8049999999999999
472,2,0.6669999999999999
473,2,0.8394999999999999
474,2,0.69
475,2,0.8739999999999999
476,2,0.6554999999999999
477,2,0.6325
478,2,0.7244999999999999
479,2,0.6094999999999999
480,2,0.8164999999999999
481,2,0.6325
482,2,0.828
483,2,0.6669999999999999
484,2,0.8164999999999999
485,2,0.7014999999999999
486,2,0.6554999999999999
487,2,0.8394999999999999
488,2,0.828
489,2,0.529
490,2,0.8164999999999999
491,2,0.6554999999999999
492,2,0.7244999999999999
493,2,0.598
494,2,0.736
495,2,0.6094999999999999
496,2,0.8049999999999999
497,2,0.6784999999999999
498,2,0.851
499,2,0.6784999999999999
500,2,0.851
501,2,0.6554999999999999
502,2,0.8394999999999999
503,2,0.6784999999999999
504,2,0.851
505,2,0.69
506,2,0.506
507,2,0.736
508,2,0.759
509,2,0.5519999999999999
510,2,0.828
511,2,0.644
512,2,0.8049999999999999
513,2,0.782
514,2,0.5405
515,2,0.7934999999999999
516,2,0.575
517,2,0.828
518,2,0.8049999999999999
519,2,0.644
520,2,0.759
521,2,0.5175
522,2,0.7014999999999999
523,2,0.6094999999999999
524,2,0.7244999999999999
525,2,0.621
526,2,0.8394999999999999
527,2,0.69
528,2,0.8394999999999999
529,2,0.8164999999999999
530,2,0.5864999999999999
531,2,0.8739999999999999
532,2,0.7014999999999999
533,2,0.8855
534,2,0.598
535,2,0.851
536,2,0.6325
537,2,0.7014999999999999
538,2,0.6784999999999999
539,2,0.575
540,2,0.7244999999999999
541,2,0.8969999999999999
542,2,0.736
543,2,0.8739999999999999
544,2,0.7014999999999999
545,2,0.8969999999999999
546,2,0.7244999999999999
547,2,0.8969999999999999
548,2,0.5864999999999999
549,2,0.69
550,2,0.621
551,2,0.8394999999999999
552,2,0.7244999999999999
553,2,0.598
554,2,0.851
555,2,0.6784999999999999
556,2,0.9085
557,2,0.7705
558,2,0.8739999999999999
559,2,0.6325
560,2,0.8855
561,2,0.8739999999999999
562,2,0.5635
563,2,0.7474999999999999
564,2,0.6325
565,2,0.736
566,2,0.759
567,2,0.69
568,2,0.8969999999999999
569,2,0.6094999999999999
570,2,0.9085
571,2,0.736
572,2,0.8739999999999999
573,2,0.6325
574,2,0.8164999999999999
575,2,0.736
576,2,0.9429999999999998
577,2,0.9429999999999998
578,2,0.644
579,2,0.7934999999999999
580,2,0.6325
581,2,0.9085
582,2,0.6784999999999999
583,2,0.8855
584,2,0.598
585,2,0.828
586,2,0.6554999999999999
587,2,0.8855
588,2,0.6669999999999999
589,2,0.9315
590,2,0.736
591,2,0.6554999999999999
592,2,0.69
593,2,0.8624999999999999
594,2,0.8049999999999999
595,2,0.644
596,2,0.9544999999999999
597,2,0.7014999999999999
598,2,0.9659999999999999
599,2,0.9429999999999998
600,2,0.621
601,2,0.9085
602,2,0.6669999999999999
603,2,0.9085
604,2,0.9085
605,2,0.759
606,2,0.6784999999999999
607,2,0.9315
608,2,0.644
609,2,0.828
610,2,0.7934999999999999
611,2,0.6554999999999999
612,2,0.9429999999999998
613,2,0.759
614,2,1.0
615,2,1.0
616,2,0.736
617,2,0.9774999999999999
618,2,0.9544999999999999
619,2,0.6669999999999999
620,2,0.9429999999999998
621,2,0.9774999999999999
622,2,0.7244999999999999
623,2,0.8624999999999999
624,2,0.9544999999999999
625,2,0.6669999999999999
626,2,0.9085
627,2,0.828
628,2,0.759
629,2,1.0
630,2,1.0
631,2,0.69
632,2,0.9544999999999999
633,2,0.8049999999999999
634,2,0.9774999999999999
635,2,0.9659999999999999
636,2,0.8164999999999999
637,2,0.9429999999999998
638,2,0.7934999999999999
639,2,0.8969999999999999
640,2,0.782
641,2,1.0
642,2,0.6784999999999999
643,2,0.9429999999999998
644,2,0.7244999999999999
645,2,1.0
646,2,0.6669999999999999
647,2,0.9889999999999999
648,2,0.7474999999999999
649,2,1.0
650,2,1.0
651,2,0.621
652,2,0.8049999999999999
653,2,0.8624999999999999
654,2,0.7474999999999999
655,2,0.9774999999999999
656,2,0.69
657,2,1.0
658,2,0.7474999999999999
659,2,1.0
660,2,0.7014999999999999
661,2,0.9774999999999999
662,2,0.7014999999999999
663,2,1.0
664,2,0.7474999999999999
665,2,0.8394999999999999
666,2,1.0
667,2,0.8394999999999999
668,2,1.0
669,2,0.7244999999999999
670,2,1.0
671,2,0.759
672,2,1.0
673,2,0.782
674,2,0.9774999999999999
675,2,0.8164999999999999
676,2,0.8394999999999999
677,2,0.6669999999999999
678,2,0.9774999999999999
679,2,0.736
680,2,1.0
681,2,0.9199999999999999
682,2,0.7014999999999999
683,2,0.9774999999999999
684,2,0.7244999999999999
685,2,1.0
686,2,0.782
687,2,0.7705
688,2,1.0
689,2,0.69
690,2,0.9889999999999999
691,2,0.736
692,2,1.0
693,2,0.759
694,2,1.0
695,2,0.6784999999999999
696,2,1.0
697,2,0.736
698,2,0.851
699,2,1.0
700,2,1.0
701,2,0.736
702,2,0.9315
703,2,0.6784999999999999
704,2,1.0
705,2,0.9315
706,2,0.736
707,2,0.8164999999999999
708,2,1.0
709,2,0.759
710,2,0.9199999999999999
711,2,1.0
712,2,0.7474999999999999
713,2,0.9889999999999999
714,2,0.759
715,2,0.621
716,2,0.7934999999999999
717,2,1.0
718,2,0.6669999999999999
719,2,0.9199999999999999
720,2,0.8969999999999999
1,3,0.6375
2,3,0.51
3,3,0.731
4,3,0.748
5,3,0.4675
6,3,0.697
7,3,0.6375
8,3,0.7735
9,3,0.544
10,3,0.6375
11,3,0.49299999999999994
12,3,0.6715
13,3,0.4335
14,3,0.561
15,3,0.748
16,3,0.5525
17,3,0.7565
18,3,0.5015
19,3,0.7224999999999999
20,3,0.731
21,3,0.48449999999999993
22,3,0.7565
23,3,0.5355
24,3,0.7224999999999999
25,3,0.5864999999999999
26,3,0.748
27,3,0.51
28,3,0.7394999999999999
29,3,0.4675
30,3,0.7054999999999999
31,3,0.663
32,3,0.7989999999999999
33,3,0.7735
34,3,0.49299999999999994
35,3,0.748
36,3,0.7394999999999999
37,3,0.5015
38,3,0.663
39,3,0.629
40,3,0.816
41,3,0.6204999999999999
42,3,0.748
43,3,0.544
44,3,0.765
45,3,0.5525
46,3,0.7905
47,3,0.595
48,3,0.782
49,3,0.7735
50,3,0.6375
51,3,0.646
52,3,0.782
53,3,0.6715
54,3,0.561
55,3,0.7905
56,3,0.6204999999999999
57,3,0.731
